date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,8832,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,partially_vaccinated,4,4,157700,2.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,not_vaccinated,21,21,4220856,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,unknown,58,58,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,fully_vaccinated,0,0,6573,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,partially_vaccinated,4,4,120291,3.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,not_vaccinated,28,28,4195103,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,partially_vaccinated,0,0,32,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,fully_vaccinated,0,0,28247,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,partially_vaccinated,8,12,176092,4.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,not_vaccinated,28,49,4183049,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,unknown,51,109,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,male,fully_vaccinated,0,0,18688,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-02_07-48-44,TRUE
