date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,128,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-01-28,moderna,fully_vaccinated,0,0,179,0,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-01-29,moderna,fully_vaccinated,0,0,187,0,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-01-30,moderna,fully_vaccinated,0,0,187,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-01-31,moderna,fully_vaccinated,0,0,187,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-01,moderna,fully_vaccinated,0,0,204,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-02,moderna,fully_vaccinated,0,0,231,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-03,moderna,fully_vaccinated,0,0,298,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-04,moderna,fully_vaccinated,0,0,401,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-05,moderna,fully_vaccinated,0,0,442,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-06,moderna,fully_vaccinated,0,0,443,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-07,moderna,fully_vaccinated,0,0,444,0,NA,0.14,31.53,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-08,moderna,fully_vaccinated,0,0,472,0,NA,0.14,29.66,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-09,moderna,fully_vaccinated,0,0,523,0,NA,0.14,26.77,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-10,moderna,fully_vaccinated,1,1,822,121.65,NA,0.14,17.03,100,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-11,moderna,fully_vaccinated,0,1,998,0,NA,0.14,14.03,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-12,moderna,fully_vaccinated,0,1,1844,0,NA,0.14,7.59,NA,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-13,moderna,fully_vaccinated,0,1,3963,0,NA,0.29,7.32,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-14,moderna,fully_vaccinated,0,1,4043,0,NA,0.29,7.17,0,6.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-15,moderna,fully_vaccinated,0,1,5459,0,NA,0.29,5.31,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
2021-02-16,moderna,fully_vaccinated,1,2,9554,10.47,NA,0.29,3.04,33.33,9.52,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-02_07-48-44
