date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,8832,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,partially_vaccinated,1,1,157700,0.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,not_vaccinated,27,27,4220856,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,female,unknown,107,107,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,fully_vaccinated,0,0,6573,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,partially_vaccinated,1,1,120291,0.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,not_vaccinated,30,30,4195103,0.72,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,male,unknown,136,136,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,partially_vaccinated,0,0,32,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,fully_vaccinated,0,0,28247,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,partially_vaccinated,4,5,176092,2.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,not_vaccinated,54,81,4183049,1.29,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,female,unknown,143,250,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,male,fully_vaccinated,0,0,18688,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,male,partially_vaccinated,3,4,138905,2.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,male,not_vaccinated,64,94,4164374,1.54,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,male,unknown,157,293,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,unknown,partially_vaccinated,0,0,39,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202105,unknown,unknown,1,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,female,fully_vaccinated,2,2,61070,3.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,female,partially_vaccinated,2,7,188874,1.06,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,female,not_vaccinated,49,130,4137444,1.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,female,unknown,98,348,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,male,fully_vaccinated,1,1,42227,2.37,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,male,partially_vaccinated,2,6,147511,1.36,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,male,not_vaccinated,61,155,4132229,1.48,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,male,unknown,115,408,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,unknown,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,unknown,partially_vaccinated,0,0,52,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202106,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,female,fully_vaccinated,3,5,100476,2.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,female,partially_vaccinated,4,11,183297,2.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
202107,female,not_vaccinated,40,170,4103615,0.97,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-02_07-48-44,TRUE
