geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CHFL,202006,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,NA,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202006,1,0,1,1,1,100,0,NA,0,8709355,0.01,0.01,NA,NA,NA,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202007,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202007,1,0,1,2,1,100,0,0,0,8709355,0.01,0.02,0,0,0,0,COVID19Test,2021-12-02_07-48-44,isoweek,2020-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202008,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202008,0,0,0,2,1,100,NA,NA,0,8709355,0,0.02,-1,-0.01,0,-100,COVID19Test,2021-12-02_07-48-44,isoweek,2020-08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202009,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-09,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202009,1853,62,1791,1855,1,100,3.3,NA,3.3,8709355,21.28,21.3,1853,21.28,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-09,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202010,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202010,4796,555,4241,6651,1,100,11.6,8.3,9.3,8709355,55.07,76.37,2943,33.79,0,158.8,COVID19Test,2021-12-02_07-48-44,isoweek,2020-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202011,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202011,23622,2327,21295,30273,1,100,9.9,-1.6999999999999993,9.7,8709355,271.23,347.59,18826,216.16,0,392.5,COVID19Test,2021-12-02_07-48-44,isoweek,2020-11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202012,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202012,52613,7390,45223,82886,1,100,14,4.1,12.5,8709355,604.1,951.69,28991,332.87,0,122.7,COVID19Test,2021-12-02_07-48-44,isoweek,2020-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202013,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202013,43689,8191,35498,126575,1,100,18.7,4.699999999999999,14.6,8709355,501.63,1453.32,-8924,-102.47,0,-17,COVID19Test,2021-12-02_07-48-44,isoweek,2020-13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202014,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202014,40252,6800,33452,166827,1,100,16.9,-1.8000000000000007,15.2,8709355,462.17,1915.49,-3437,-39.46,0,-7.9,COVID19Test,2021-12-02_07-48-44,isoweek,2020-14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202015,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202015,32611,4330,28281,199438,1,100,13.3,-3.599999999999998,14.9,8709355,374.44,2289.93,-7641,-87.73,0,-19,COVID19Test,2021-12-02_07-48-44,isoweek,2020-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
CHFL,202016,NA,NA,NA,NA,1,100,NA,NA,NA,8709355,NA,NA,NA,NA,0,NA,COVID19Test,2021-12-02_07-48-44,isoweek,2020-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,NA
CHFL,202016,27248,2444,24804,226686,1,100,9,-4.300000000000001,14.2,8709355,312.86,2602.79,-5363,-61.58,0,-16.4,COVID19Test,2021-12-02_07-48-44,isoweek,2020-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,NA
