date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.25,25
202053,AG,male,55,sex,348814,57,0.02,0.02,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.294,29.4
202101,AG,male,1188,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202102,AG,male,1540,sex,348814,2785,0.44,0.8,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.45,45
202103,AG,male,2864,sex,348814,5649,0.82,1.62,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.458,45.800000000000004
202104,AG,male,2383,sex,348814,8032,0.68,2.3,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.422,42.199999999999996
202105,AG,male,2373,sex,348814,10405,0.68,2.98,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.4,40
202106,AG,male,2019,sex,348814,12424,0.58,3.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.399,39.900000000000006
202107,AG,male,2400,sex,348814,14824,0.69,4.25,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.456,45.6
202108,AG,male,3874,sex,348814,18698,1.11,5.36,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202109,AG,male,3630,sex,348814,22328,1.04,6.4,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.463,46.300000000000004
202110,AG,male,4042,sex,348814,26370,1.16,7.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.462,46.2
202111,AG,male,2445,sex,348814,28815,0.7,8.26,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.464,46.400000000000006
202112,AG,male,3811,sex,348814,32626,1.09,9.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.474,47.4
202113,AG,male,4520,sex,348814,37146,1.3,10.65,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202114,AG,male,5727,sex,348814,42873,1.64,12.29,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.467,46.7
202115,AG,male,8053,sex,348814,50926,2.31,14.6,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.429,42.9
202116,AG,male,10794,sex,348814,61720,3.09,17.69,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.491,49.1
202117,AG,male,7556,sex,348814,69276,2.17,19.86,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202118,AG,male,11592,sex,348814,80868,3.32,23.18,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.495,49.5
202119,AG,male,8790,sex,348814,89658,2.52,25.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202120,AG,male,9014,sex,348814,98672,2.58,28.29,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.493,49.3
202121,AG,male,12795,sex,348814,111467,3.67,31.96,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.517,51.7
202122,AG,male,14713,sex,348814,126180,4.22,36.17,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.539,53.900000000000006
202123,AG,male,17596,sex,348814,143776,5.04,41.22,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.547,54.7
202124,AG,male,14554,sex,348814,158330,4.17,45.39,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.557,55.7
202125,AG,male,7657,sex,348814,165987,2.2,47.59,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.535,53.5
202126,AG,male,5043,sex,348814,171030,1.45,49.03,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.514,51.4
202127,AG,male,3108,sex,348814,174138,0.89,49.92,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.532,53.2
202128,AG,male,3142,sex,348814,177280,0.9,50.82,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.542,54.2
202129,AG,male,2446,sex,348814,179726,0.7,51.52,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.51,51
202130,AG,male,2548,sex,348814,182274,0.73,52.26,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202131,AG,male,2746,sex,348814,185020,0.79,53.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.507,50.7
202132,AG,male,2459,sex,348814,187479,0.7,53.75,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.513,51.300000000000004
202133,AG,male,3228,sex,348814,190707,0.93,54.67,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.492,49.2
202134,AG,male,4535,sex,348814,195242,1.3,55.97,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.499,49.9
202135,AG,male,4632,sex,348814,199874,1.33,57.3,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.503,50.3
202136,AG,male,6052,sex,348814,205926,1.74,59.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.523,52.300000000000004
202137,AG,male,6508,sex,348814,212434,1.87,60.9,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.54,54
202138,AG,male,3763,sex,348814,216197,1.08,61.98,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.517,51.7
202139,AG,male,2357,sex,348814,218554,0.68,62.66,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.51,51
202140,AG,male,1932,sex,348814,220486,0.55,63.21,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.513,51.300000000000004
202141,AG,male,1898,sex,348814,222384,0.54,63.75,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202142,AG,male,1528,sex,348814,223912,0.44,64.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.525,52.5
202143,AG,male,1365,sex,348814,225277,0.39,64.58,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.536,53.6
202144,AG,male,1111,sex,348814,226388,0.32,64.9,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.539,53.900000000000006
202145,AG,male,1599,sex,348814,227987,0.46,65.36,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.524,52.400000000000006
202146,AG,male,1341,sex,348814,229328,0.38,65.75,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.523,52.300000000000004
202147,AG,male,1024,sex,348814,230352,0.29,66.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.485,48.5
202052,AG,female,6,sex,345258,6,0,0,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.75,75
202053,AG,female,132,sex,345258,138,0.04,0.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.706,70.6
202101,AG,female,1314,sex,345258,1452,0.38,0.42,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.525,52.5
202102,AG,female,1878,sex,345258,3330,0.54,0.96,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.549,54.900000000000006
202103,AG,female,3394,sex,345258,6724,0.98,1.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.542,54.2
202104,AG,female,3270,sex,345258,9994,0.95,2.89,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.578,57.8
202105,AG,female,3564,sex,345258,13558,1.03,3.93,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.6,60
202106,AG,female,3035,sex,345258,16593,0.88,4.81,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.601,60.099999999999994
202107,AG,female,2858,sex,345258,19451,0.83,5.63,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.544,54.400000000000006
202108,AG,female,4286,sex,345258,23737,1.24,6.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.525,52.5
202109,AG,female,4212,sex,345258,27949,1.22,8.1,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.537,53.7
202110,AG,female,4698,sex,345258,32647,1.36,9.46,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.538,53.800000000000004
