date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,126,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-01-28,moderna,fully_vaccinated,0,0,175,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-01-29,moderna,fully_vaccinated,0,0,183,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-01-30,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-01-31,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-01,moderna,fully_vaccinated,0,0,200,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-02,moderna,fully_vaccinated,0,0,226,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-03,moderna,fully_vaccinated,0,0,291,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-04,moderna,fully_vaccinated,0,0,394,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-05,moderna,fully_vaccinated,0,0,435,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-06,moderna,fully_vaccinated,0,0,436,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-07,moderna,fully_vaccinated,0,0,437,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-08,moderna,fully_vaccinated,0,0,465,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-09,moderna,fully_vaccinated,0,0,513,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-10,moderna,fully_vaccinated,0,0,676,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-11,moderna,fully_vaccinated,0,0,850,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-12,moderna,fully_vaccinated,0,0,1681,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-13,moderna,fully_vaccinated,0,0,3791,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-14,moderna,fully_vaccinated,0,0,3871,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-15,moderna,fully_vaccinated,0,0,5284,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-16,moderna,fully_vaccinated,0,0,9354,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-17,moderna,fully_vaccinated,0,0,14976,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-18,moderna,fully_vaccinated,0,0,22114,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-19,moderna,fully_vaccinated,0,0,29008,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-20,moderna,fully_vaccinated,0,0,32500,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-21,moderna,fully_vaccinated,0,0,32963,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-22,moderna,fully_vaccinated,0,0,40672,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-23,moderna,fully_vaccinated,0,0,52155,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-24,moderna,fully_vaccinated,0,0,64897,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-25,moderna,fully_vaccinated,0,0,78882,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-26,moderna,fully_vaccinated,0,0,91635,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-27,moderna,fully_vaccinated,0,0,95442,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-02-28,moderna,fully_vaccinated,0,0,96478,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-01,moderna,fully_vaccinated,0,0,105714,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-02,moderna,fully_vaccinated,0,0,116705,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-03,moderna,fully_vaccinated,0,0,128277,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-03-04,moderna,fully_vaccinated,0,0,139340,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
